campaign_id,campaign_manager,channel,creative_format,impressions,clicks,conversions,cost,revenue,retention_rate,average_order_value,purchase_frequency_per_year,launch_weather,customer_lifespan_years,campaign_color_theme,discount_rate,ctr,conversion_rate,cpa,roas,profit,profit_margin
C00001,Rahul Mehta,Instagram Ads,Static,78369,2527,159,167026,132844,0.49,2933,2,Rainy,6,Green,0.1,0.0322448927509602,0.0629204590423427,1050.4779874213837,0.7953492270664447,-34182,-0.25730932522357053
C00002,Sneha Kapoor,Influencer Marketing,Video,69123,3433,311,63912,88565,0.74,2932,5,Cloudy,3,Red,0.1,0.04966508976751588,0.09059131954558695,205.5048231511254,1.3857335085742897,24653,0.2783605261672218
C00003,Priya Sharma,Facebook Ads,Story,23407,2300,113,271571,292305,0.51,2078,2,Cloudy,2,Red,0.1,0.09826120391335925,0.049130434782608694,2403.283185840708,1.0763483582562203,20734,0.07093275859119755
C00004,Vikram Singh,Snapchat Ads,Static,200331,16894,2143,432589,537792,0.5,2250,2,Rainy,6,Red,0.1,0.08433043313316461,0.12684976914881022,201.86140923938405,1.243193886113609,105203,0.1956202397953112
C00005,Sneha Kapoor,Affiliate Marketing,Carousel,209600,17179,1967,74025,112945,0.76,1026,3,Cloudy,2,Black,0.1,0.08196087786259541,0.11450026194772688,37.63345195729537,1.5257683215130025,38920,0.3445925007747134
C00006,Rahul Mehta,Email Marketing,Carousel,211277,9431,684,401364,390835,0.82,992,6,Sunny,3,Green,0.1,0.04463808175996441,0.07252677340684975,586.7894736842105,0.9737669546845258,-10529,-0.026939757186536517
C00007,Arjun Nair,Facebook Ads,Carousel,105669,7566,472,385544,602769,0.54,2028,2,Humid,3,Blue,0.1,0.07160094256593703,0.06238435104414486,816.8305084745763,1.5634246674828294,217225,0.36037851979779983
C00008,Rahul Mehta,YouTube Ads,Carousel,230325,12459,689,347365,634606,0.58,2744,5,Sunny,5,Blue,0.1,0.05409312927385217,0.055301388554458625,504.1582002902758,1.8269140529414305,287241,0.45262887523912476
C00009,Rahul Mehta,YouTube Ads,Story,149303,14489,1371,441650,626445,0.81,2335,4,Rainy,3,Blue,0.1,0.09704426568789642,0.0946235074884395,322.13712618526625,1.4184195630023775,184795,0.29498998315893654
C00010,Arjun Nair,Snapchat Ads,Carousel,287138,21367,2578,107487,87492,0.51,2429,6,Humid,2,Green,0.1,0.07441369655009089,0.12065334394159218,41.69394879751746,0.8139775042563286,-19995,-0.22853518035934714
C00011,Arjun Nair,LinkedIn Ads,Static,265392,20599,3018,56019,86963,0.5,2899,4,Cloudy,4,Red,0.1,0.07761726050521493,0.1465119666003204,18.561630218687874,1.5523840125671646,30944,0.3558294907029426
C00012,Sneha Kapoor,Influencer Marketing,Video,102920,7290,1053,427319,413963,0.65,1431,6,Sunny,2,Blue,0.1,0.07083171395258453,0.14444444444444443,405.8110161443495,0.9687446614824055,-13356,-0.032263753040730696
C00013,Rahul Mehta,Instagram Ads,Story,286161,24268,1173,449775,371590,0.83,2872,2,Sunny,6,Red,0.1,0.08480540674655176,0.048335256304598645,383.43989769820973,0.8261686398754933,-78185,-0.2104066309642348
C00014,Priya Sharma,Affiliate Marketing,Carousel,78650,8936,1210,486032,840584,0.55,1686,6,Sunny,2,Black,0.1,0.11361729179910998,0.13540734109221128,401.6793388429752,1.7294828324060967,354552,0.4217924680936111
C00015,Priya Sharma,Snapchat Ads,Video,56287,6642,623,115934,90399,0.64,2951,3,Humid,4,Black,0.1,0.11800238065627942,0.09379704908160193,186.08988764044943,0.7797453723670364,-25535,-0.2824699388267569
C00016,Arjun Nair,Twitter Ads,Carousel,241846,28245,3995,445976,723330,0.53,1976,5,Humid,4,Black,0.1,0.11678919643078653,0.1414409630023013,111.63354192740927,1.6219034208118823,277354,0.3834404766842244
C00017,Vikram Singh,Instagram Ads,Story,256708,10496,597,227254,143044,0.67,1602,2,Cloudy,2,Red,0.1,0.04088692210605045,0.056878810975609755,380.65996649916246,0.6294454663064236,-84210,-0.5886999804256033
C00018,Rahul Mehta,Snapchat Ads,Story,140031,5050,170,223239,156088,0.55,2688,3,Humid,6,Blue,0.1,0.036063443094743304,0.033663366336633666,1313.1705882352942,0.699196824927544,-67151,-0.43021244426221106
C00019,Priya Sharma,Instagram Ads,Static,267815,13891,1205,263416,228269,0.49,2465,4,Sunny,5,Red,0.1,0.051867893881970766,0.0867468144841984,218.602489626556,0.8665722659215841,-35147,-0.1539718490027117
C00020,Rahul Mehta,YouTube Ads,Static,71599,2538,297,469741,848512,0.55,1479,6,Sunny,5,Green,0.1,0.03544742245003422,0.11702127659574468,1581.6195286195286,1.8063400895387032,378771,0.44639439395082214
C00021,Arjun Nair,Twitter Ads,Static,166037,11894,1604,89523,109252,0.79,2954,2,Cloudy,2,Red,0.1,0.07163463565349892,0.13485791155204305,55.812344139650875,1.2203791204494934,19729,0.18058250649873686
C00022,Priya Sharma,YouTube Ads,Video,27737,3251,458,494960,460773,0.61,2671,3,Humid,5,Green,0.1,0.11720806143418538,0.1408797293140572,1080.698689956332,0.9309297721027961,-34187,-0.0741948855510197
C00023,Vikram Singh,Email Marketing,Story,218691,6603,507,461078,783455,0.56,2976,5,Humid,3,Green,0.1,0.03019328641782241,0.07678328032712403,909.4240631163708,1.699181049627178,322377,0.4114811954738945
C00024,Vikram Singh,Twitter Ads,Static,50662,4160,395,442154,459418,0.47,2652,6,Sunny,6,Black,0.1,0.0821128261813588,0.09495192307692307,1119.3772151898734,1.0390452195388937,17264,0.03757797909529013
C00025,Vikram Singh,Instagram Ads,Static,62001,6610,252,85631,132325,0.54,1191,6,Humid,3,Blue,0.1,0.10661118369058564,0.038124054462934945,339.80555555555554,1.5452931765365348,46694,0.3528736066502928
C00026,Sneha Kapoor,Influencer Marketing,Carousel,62982,4265,426,324088,337997,0.55,1986,3,Sunny,4,Blue,0.1,0.06771776063002127,0.09988276670574443,760.7699530516431,1.0429173557799116,13909,0.04115125282177061
C00027,Priya Sharma,Influencer Marketing,Carousel,259717,15182,1825,88033,53967,0.7,1109,2,Humid,6,Black,0.1,0.05845593472895498,0.12020814121986563,48.2372602739726,0.6130314768325514,-34066,-0.6312376081679545
C00028,Vikram Singh,Twitter Ads,Story,89445,10196,1383,178075,198969,0.51,2925,4,Rainy,6,Blue,0.1,0.11399183856000894,0.1356414280109847,128.75994215473608,1.1173325845851467,20894,0.10501133342379969
C00029,Sneha Kapoor,YouTube Ads,Carousel,24101,2171,209,397806,296373,0.8,1783,2,Rainy,2,Black,0.1,0.09007924982365877,0.09626900046061723,1903.377990430622,0.745018928824603,-101433,-0.3422477756070897
C00030,Priya Sharma,Instagram Ads,Carousel,162788,9011,498,229768,203353,0.7,1781,6,Humid,5,Black,0.1,0.05535420301250706,0.055265786261236266,461.3815261044177,0.8850362104383552,-26415,-0.1298972722310465
C00031,Rahul Mehta,LinkedIn Ads,Video,68390,5955,771,73114,44231,0.76,1772,3,Sunny,5,Blue,0.1,0.08707413364526978,0.12947103274559194,94.83009079118028,0.6049593785048007,-28883,-0.653003549546698
C00032,Priya Sharma,YouTube Ads,Video,25069,1004,143,412293,769132,0.67,2212,6,Humid,6,Red,0.1,0.04004946348079301,0.14243027888446216,2883.1678321678323,1.865498565340668,356839,0.46395027121482396
C00033,Rahul Mehta,Facebook Ads,Static,41930,2421,333,467397,916600,0.47,2165,3,Cloudy,3,Black,0.1,0.05773908895778679,0.137546468401487,1403.5945945945946,1.9610737766823492,449203,0.49007527820205105
C00034,Priya Sharma,Facebook Ads,Video,233058,27418,3288,174118,315231,0.84,1425,5,Humid,2,Red,0.1,0.11764453483682173,0.119921219636735,52.95559610705596,1.8104446409905925,141113,0.44764950147669486
C00035,Sneha Kapoor,Email Marketing,Static,235856,24104,3222,475066,450093,0.51,1142,5,Humid,2,Black,0.1,0.10219795129231396,0.13367076003982742,147.44444444444446,0.947432567264338,-24973,-0.055484088843861155
C00036,Priya Sharma,Influencer Marketing,Story,124633,12898,1099,210007,367249,0.8,1613,2,Cloudy,3,Green,0.1,0.10348784029911821,0.08520700883857962,191.0891719745223,1.74874647035575,157242,0.4281618193650629
C00037,Vikram Singh,Influencer Marketing,Carousel,56396,6599,419,386321,507304,0.72,2896,4,Rainy,2,Green,0.1,0.11701184481168878,0.06349446885891802,922.0071599045347,1.3131670294910192,120983,0.2384822512733982
C00038,Arjun Nair,Google Search Ads,Story,113620,9345,1383,70057,52666,0.62,1984,5,Sunny,6,Black,0.1,0.08224784368949128,0.14799357945425362,50.65582067968185,0.751759281727736,-17391,-0.3302130406714009
C00039,Vikram Singh,Facebook Ads,Static,221953,24626,1300,73271,116669,0.45,2905,3,Rainy,4,Green,0.1,0.11095141764247386,0.05278973442702834,56.362307692307695,1.592294359296311,43398,0.3719754176345045
C00040,Priya Sharma,Email Marketing,Carousel,184582,16557,744,207455,271760,0.72,2036,5,Humid,4,Green,0.1,0.08969997074470967,0.04493567675303497,278.8373655913978,1.3099708370489986,64305,0.23662422725934648
C00041,Arjun Nair,Influencer Marketing,Carousel,240434,21601,1630,442237,824297,0.7,1932,5,Rainy,6,Red,0.1,0.089841702920552,0.07545946946900607,271.3110429447853,1.8639259039836107,382060,0.4634979867693319
C00042,Arjun Nair,YouTube Ads,Video,170425,8336,1036,368065,558202,0.64,2511,3,Sunny,6,Blue,0.1,0.04891301158867537,0.12428023032629558,355.2750965250965,1.516585385733498,190137,0.34062400349694194
C00043,Rahul Mehta,YouTube Ads,Story,64457,3579,392,374671,400622,0.78,1662,4,Sunny,3,Red,0.1,0.05552538901903595,0.10952780106174909,955.7933673469388,1.0692634337859082,25951,0.0647767721193544
C00044,Sneha Kapoor,LinkedIn Ads,Story,32805,1120,165,370483,663028,0.48,2397,6,Sunny,3,Black,0.1,0.034141137021795456,0.14732142857142858,2245.3515151515153,1.7896313730994404,292545,0.4412257099247694
C00045,Vikram Singh,Twitter Ads,Carousel,279196,18418,878,410512,249493,0.75,1136,5,Cloudy,3,Green,0.1,0.06596799381079958,0.04767075686828103,467.5535307517084,0.6077605526756831,-161019,-0.6453848404564456
C00046,Priya Sharma,Affiliate Marketing,Video,263557,9097,544,494772,380925,0.5,2603,6,Sunny,6,Black,0.1,0.034516252651229144,0.05979993404419039,909.5073529411765,0.7699000751861463,-113847,-0.2988698562709195
C00047,Vikram Singh,Influencer Marketing,Static,284649,19471,2703,283787,526734,0.75,2644,5,Cloudy,4,Blue,0.1,0.06840354260861622,0.1388218376046428,104.98964113947466,1.8560892500361186,242947,0.4612328044136129
