channel,n,mean_cpa,ci_95_lower,ci_95_upper
Influencer Marketing,567,493.3328789658943,437.0051783917492,561.5687399241588
Snapchat Ads,551,533.6901839488545,466.45667138737014,602.4684017090705
Affiliate Marketing,540,537.5097115965104,486.0082558558094,599.9740133827943
Email Marketing,523,538.5081165303857,471.75686357167757,604.4759469875482
YouTube Ads,545,541.2610564217259,482.99680412610525,603.6830540708538
Facebook Ads,576,555.2824779394193,494.75523978150335,624.7036885123047
LinkedIn Ads,557,555.4051056762995,497.62242027264034,620.6584303754998
Twitter Ads,535,560.2829817168915,501.0808361423008,626.0708264232468
Instagram Ads,545,595.1055834875239,519.6325237534386,679.4980723109167
Google Search Ads,561,600.3131939636318,519.6261319404836,691.4128474041851
