channel,campaigns,impressions,clicks,conversions,cost,revenue,ctr,conversion_rate,cpa,roas,profit,profit_margin
Affiliate Marketing,540,87239034,6505049,573771,154076296,199548066,0.07456580731969133,0.08820394742606859,268.5327351852917,1.2951250203989846,45471770,0.227873769520773
Email Marketing,523,82979214,6332532,576577,142727418,185357593,0.07631467803491125,0.09104999390449192,247.54268380459158,1.2986824507677985,42630175,0.2299888248980445
Facebook Ads,576,94772134,6986463,626906,161869945,211262762,0.07371853629464543,0.08973152795627773,258.2044915824701,1.3051389002448848,49392817,0.23379802731159977
Google Search Ads,561,88129353,6504794,597617,155621009,196484953,0.07380961936711371,0.0918733168183343,260.402580582547,1.2625862938595906,40863944,0.20797492823788905
Influencer Marketing,567,92073399,6868454,613331,154900493,205821241,0.07459759360029708,0.08929680536551603,252.55611244173213,1.3287319944165703,50920748,0.24740278385553024
Instagram Ads,545,90172075,6698729,590984,149295216,197123061,0.07428828714432933,0.08822330325648343,252.6214178387232,1.3203575190245882,47827845,0.24262937455095626
LinkedIn Ads,557,84593979,6345528,563938,155660332,196372841,0.0750115797248407,0.08887172194339069,276.02383950008686,1.2615471037283925,40712509,0.20732250342092876
Snapchat Ads,551,90264437,6675836,596478,152962935,208078849,0.07395865106874815,0.08934880964721123,256.4435486304608,1.3603220218022098,55115914,0.26487994462137765
Twitter Ads,535,83528858,6313651,564662,145135428,185010707,0.07558646378237327,0.08943509864577563,257.0306271716531,1.274745315802562,39875279,0.21552957472888312
YouTube Ads,545,86990926,6459472,577897,148877501,191970551,0.07425454926183911,0.08946505225194877,257.61943910420024,1.2894530718916353,43093050,0.22447739914024625
